회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
메타바이오메드,059210,의료용품 및 기타 의약관련제품 제조업,"생체분해성봉합사,근관충전재",2008-04-15,12월,오석송,,충청북도
효성오앤비,097870,비료 및 질소화합물 제조업,"혼합유박비료,유기복합비료,혼합유기질비료",2008-04-08,06월,박태헌,,충청남도
네패스신소재,087730,합성고무 및 플라스틱 물질 제조업,반도체용EMC(EpoxyMoldingCompound),2008-04-04,12월,"이병구, 홍학표",,전라북도
텔레필드,091440,통신 및 방송 장비 제조업,광전송장비,2008-02-01,12월,박노택,http://www.telefield.com,경기도
이트론,096040,컴퓨터 및 주변장치 제조업,컴퓨터 및 주변장치 제조,2008-01-25,12월,노성혁,http://www.e-trons.co.kr,서울특별시
에스맥,097780,통신 및 방송 장비 제조업,휴대폰용키모듈,2008-01-23,12월,조경숙,,경기도
에스코넥,096630,통신 및 방송 장비 제조업,WaferProber,2007-12-26,12월,박순관(단독대표이사),http://www.syconnect.co.kr,경기도
일신바이오,068330,일반 목적용 기계 제조업,초저온냉동고및동결건조기,2007-12-26,12월,홍성대,,경기도
서원인텍,093920,통신 및 방송 장비 제조업,휴대폰용키패드및부자재,2007-12-20,12월,김재윤,http://seowonintech.co.kr,경기도
이씨에스,067010,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컨택센터용교환시스템,업무용교환시스템",2007-12-18,03월,현해남,,서울특별시
대창솔루션,096350,"구조용 금속제품, 탱크 및 증기발생기 제조업",내연기관구조재(선박엔진용MBS),2007-12-17,12월,"박정호, 김대성",,부산광역시
아이에스이커머스,069920,무점포 소매업,"해외수입대행,온라인패션쇼핑몰,온라인화장품쇼핑몰",2007-12-05,12월,"김응수,김응상",,서울특별시
알에프세미,096610,반도체 제조업,"마이크로폰용ECMChip,RFFilter",2007-11-20,12월,이진효,,대전광역시
디엔에프,092070,기타 화학제품 제조업,반도체배선박막재료(알루미늄전구체),2007-11-16,12월,김명운,,대전광역시
일진파워,094820,전기 및 통신 공사업,"열교환기,압력용기",2007-11-06,12월,이광섭,http://ijeng.com,울산광역시
비엠티,086670,일반 목적용 기계 제조업,"정밀계장용피팅및밸브류,전원분배장치(MCPD)",2007-11-02,12월,윤종찬,http://superlok.com,경상남도
이엘케이,094190,전자부품 제조업,터치패널모듈,2007-10-29,12월,신동혁,http://www.elk.co.kr,대전광역시
이엠코리아,095190,특수 목적용 기계 제조업,CNC공작기계등,2007-10-29,12월,강삼수,,경상남도
현우산업,092300,전자부품 제조업,인쇄회로판(PCB),2007-10-24,12월,문병선,,인천광역시
다믈멀티미디어,093640,반도체 제조업,멀티미디어반도체,2007-10-19,12월,정연홍,,경기도
에스에너지,095910,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","태양광발전시스템,태양전지모듈",2007-10-16,12월,홍성민,http://www.s-energy.co.kr,경기도
성우전자,081580,통신 및 방송 장비 제조업,휴대폰금속프레스부품(전자파차단ShieldCan),2007-10-12,12월,조성면,,경기도
엘엠에스,073110,"안경, 사진장비 및 기타 광학기기 제조업",프리즘시트,2007-10-12,12월,나우주,,경기도
제이엠티,094970,전자부품 제조업,LCD패널용PBA,2007-10-12,12월,정수연,,경기도
오디텍,080520,반도체 제조업,"광반도체,소자및모듈",2007-10-08,12월,박병근,http://www.od-tech.com,전라북도
ISC,095340,전자부품 제조업,반도체테스트소켓,2007-10-01,12월,정영배,http://isc21.kr,경기도
네오티스,085910,자동차 부품 제조업,"마이크로비트,샤프트",2007-10-01,12월,권은영,http://www.neotis.co.kr,경기도
미래나노텍,095500,플라스틱제품 제조업,LCDBLU용광학필름,2007-10-01,12월,김철영,,충청북도
상보,027580,전자부품 제조업,"광학필름,윈도우필름,미디어필름",2007-10-01,12월,김상근,http://www.e-sbk.com,경기도
바이오톡스텍,086040,자연과학 및 공학 연구개발업,"안전성평가,유효성평가",2007-09-21,12월,강종구,http://www.biotoxtech.com,충청북도
연이정보통신,090740,전자부품 제조업,"LCD,PDP및단말기용PBA",2007-09-19,12월,이종전,http://www.younyi.co.kr,충청남도
옴니시스템,057540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","전자식전력량계,설비미터,원격검침시스템",2007-09-19,12월,박혜린,http://www.omnisystem.co.kr,경기도
푸른기술,094940,컴퓨터 및 주변장치 제조업,"금융자동화기기모듈,역무자동화기기모듈,특수단말시스템",2007-09-14,12월,함현철,http://www.puloon.co.kr,서울특별시
웨이브일렉트로,095270,통신 및 방송 장비 제조업,이동통신중계기용전력증폭기,2007-09-12,12월,"박천석,이순환(각자대표)",http://www.wavetc.com,경기도
빅솔론,093190,컴퓨터 및 주변장치 제조업,"POS용프린터,프린팅메카니즘",2007-08-20,12월,"김형근, 김장환",http://www.bixolon.com,경기도
한솔넥스지,081970,소프트웨어 개발 및 공급업,"보안관제서비스,인터넷정보보안제품",2007-08-20,12월,박상준,http://www.nexg.net,서울특별시
S&K폴리텍,091340,전자부품 제조업,고밀도폴리우레탄폼시트,2007-07-30,12월,강원형,http://www.snkpolytec.com,경기도
네오디안테크놀로지,072770,소프트웨어 개발 및 공급업,무선인터넷플랫폼,2007-07-25,12월,이현진,http://www.neodian.co.kr,서울특별시
갤럭시아컴즈,094480,소프트웨어 개발 및 공급업,전자결제,2007-07-20,12월,고 진,http://www.varovision.com,서울특별시
에코프로,086520,일차전지 및 축전지 제조업,"환경소재,화학필터,이차전지소재등",2007-07-20,12월,이동채,http://www.ecopro.co.kr,충청북도
MPK,065150,음·식료품 및 담배 도매업,외식 프랜차이즈사업 및 식자재 유통,2007-07-18,12월,정순민,http://www.mrpizza.co.kr,서울특별시
컴투스,078340,소프트웨어 개발 및 공급업,모바일게임,2007-07-06,12월,송병준,http://www.com2us.com,서울특별시
네오위즈게임즈,095660,소프트웨어 개발 및 공급업,"피망,스페셜포스",2007-07-02,12월,이기원,http://www.neowizgames.com,경기도
넥스트칩,092600,반도체 제조업,영상처리용 시스템반도체,2007-06-26,12월,김경수,http://www.nextchip.com,경기도
엔텔스,069410,소프트웨어 개발 및 공급업,운용지원솔루션,2007-06-20,12월,심재희,http://www.ntels.com,서울특별시
풍강,093380,기타 금속가공제품 제조업,자동차용너트류,2007-06-01,08월,김진용,http://www.pungkang.co.kr,경기도
동국제약,086450,의약품 제조업,"인사돌,복합마데카솔,파미레이",2007-05-29,12월,"이영욱,오흥주(공동 대표이사)",http://www.dkpharm.co.kr,서울특별시
케이프,064820,선박 및 보트 건조업,선박엔진용실린더라이너,2007-05-29,12월,김종호,http://www.cape.co.kr,경상남도
상신이디피,091580,일차전지 및 축전지 제조업,2차전지부품,2007-05-23,12월,김일부,http://www.ssedp.co.kr,경기도
한라IMS,092460,선박 및 보트 건조업,"선용원격자동측정시스템,선용원격자동경보시스템",2007-05-22,12월,"지석준, 김영구",http://www.hanlalevel.co.kr,부산광역시
에프알텍,073540,통신 및 방송 장비 제조업,이동통신용중계기,2007-05-18,12월,남재국,http://www.frtek.co.kr,경기도
이엠텍,091120,전자부품 제조업,"마이크로스피커,리시버",2007-05-02,12월,정승규,http://www.em-tech.co.kr,부산광역시
참좋은레져,094850,여행사 및 기타 여행보조 서비스업,"고급자전거,자전거용품및부품",2007-04-30,12월,이상호,http://www.cellosports.com,서울특별시
코닉글로리,094860,소프트웨어 개발 및 공급업,네트워크장비공급및인터넷트래픽솔루션,2007-04-16,12월,조명제,http://www.kornicglory.co.kr,서울특별시
이베스트투자증권,078020,금융지원 서비스업,유가증권위탁매매,2007-02-21,12월,홍원식,http://www.etrade.co.kr,서울특별시
매커스,093520,기계장비 및 관련 물품 도매업,자일링스(Xilinx)비메모리반도체(PLDchip)유통,2007-02-12,12월,"신동철, 성종률",http://www.makus.co.kr,서울특별시
오스템임플란트,048260,의료용 기기 제조업,치과용임플란트,2007-02-07,12월,최규옥,http://www.osstem.com,서울특별시
나노캠텍,091970,플라스틱제품 제조업,투명전도성관련제품,2007-01-30,12월,손진곤(SUN ZHENKUN),http://www.nanosbiz.com,경기도
네오팜,092730,기타 화학제품 제조업,생체기능성(아토피)보습제,2007-01-30,12월,유근직,http://neopharm.co.kr,대전광역시
비에이치,090460,전자부품 제조업,연성인쇄회로기판(FPCB),2007-01-26,12월,이경환,http://www.bhe.co.kr,인천광역시
오스코텍,039200,의약품 제조업,"뼈이식재,건강식품소재",2007-01-17,12월,김정근,http://www.oscotec.com,경기도
켐트로닉스,089010,전자부품 제조업,"Touch IC 및 PBA, TG, EMC",2007-01-17,12월,김 보 균,http://www.chemtronics.co.kr,세종특별자치시
제이스텍,090470,특수 목적용 기계 제조업,기계장비(디스플레이장비),2007-01-10,12월,정재송,http://www.astjetec.co.kr,인천광역시
동아엘텍,088130,특수 목적용 기계 제조업,LCD검사장비,2007-01-03,12월,박재규,http://www.dongaeltek.co.kr,경기도
신양오라컴,086830,통신 및 방송 장비 제조업,휴대폰케이스,2006-12-27,12월,"양희성, 홍재화",http://www.ishinyang.co.kr,경기도
휴온스글로벌,084110,의약품 제조업,"비만치료제,국소마취제등",2006-12-19,12월,윤성태,http://www.huons.com,경기도
케이씨티,089150,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","금융단말시스템,복표발매기,마권발매기",2006-12-13,12월,이호성,http://www.kctinc.co.kr,경기도
파트론,091700,전자부품 제조업,이동통신안테나및유전체필터류등,2006-12-13,12월,김종구,http://www.partron.co.kr,경기도
디에스티로봇,090710,특수 목적용 기계 제조업,제조업용로봇및서비스로봇,2006-12-05,12월,"천징,최명규",http://www.dstrobot.com,충청남도
유니테스트,086390,특수 목적용 기계 제조업,"반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)",2006-12-05,12월,김종현,http://www.uni-test.com,경기도
에스에이티,060540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","이동통신중계기용부품(제어기,광모듈,RF필터)",2006-11-28,12월,정성원,http://www.satech.co.kr,경기도
큐에스아이,066310,반도체 제조업,레이저다이오드(LaserDiode),2006-11-24,12월,이청대,http://www.qsilaser.com,충청남도
멀티캠퍼스,067280,기타 교육기관,e-Learning서비스,2006-11-16,12월,김대희,http://www.credu.com,서울특별시
화신테크,086250,특수 목적용 기계 제조업,자동차용프레스금형,2006-11-10,12월,"정재형,정유진",http://www.hstech.co.kr,대구광역시
고려반도체,089890,특수 목적용 기계 제조업,반도체SolderBall부착장비등,2006-11-08,12월,박명순,http://www.koses.co.kr,경기도
성창오토텍,080470,자동차 부품 제조업,"차량용에어컨필터,차량용공기청정기등",2006-11-03,12월,조봉관,http://www.sc-autotech.com,경기도
넥스턴,089140,특수 목적용 기계 제조업,CNC자동선반,2006-11-01,12월,정영화,http://www.nexturn.co.kr,경기도
제이티,089790,특수 목적용 기계 제조업,반도체장비(Burn-in Sorter 등),2006-10-27,12월,"유홍준, 임대호 (공동대표)",http://www.jtcorp.co.kr,충청남도
광진윈텍,090150,자동차 부품 제조업,시트히터,2006-10-20,12월,신규진,http://www.kwangjinwintec.com,부산광역시
이녹스,088390,전자부품 제조업,"FPCB소재,반도체PKG소재,디스플레이소재,OLED소재",2006-10-20,12월,장경호 (단독 대표이사),http://www.innoxcorp.com,충청남도
THE E&M,089230,1차 철강 제조업,무계목 강관 외,2006-10-10,12월,"양성휘, 남득현 (각자대표이사)",http://www.yhbm.co.kr,서울특별시
바텍,043150,의료용 기기 제조업,"치과용디지털X-ray기기(파노라마,CT)",2006-09-29,12월,"노창준, 안상욱(각자대표)",http://www.vatech.co.kr,경기도
MDS테크,086960,소프트웨어 개발 및 공급업,"임베디드개발솔루션,임베디드소프트웨어",2006-09-26,12월,장명섭,http://www.mdstec.com,경기도
루멘스,038060,반도체 제조업,LED개발 및 제조,2006-08-08,12월,유태경,http://lumensleds.com,경기도
CSA 코스믹,083660,플라스틱제품 제조업,"물탱크,상하수도용도류벽,축산탱크",2006-07-25,12월,조성아,http://www.gentro.co.kr,서울특별시
티엘아이,062860,반도체 제조업,LCDTV및모니터용TimingController,2006-07-25,12월,"김달수, 신윤홍, 송윤석",http://www.tli.co.kr,경기도
한국전자금융,063570,기타 사업지원 서비스업,"ATM관리사업,CD-VAN사업",2006-07-14,12월,구자성,http://www.nicetcm.co.kr,서울특별시
쇼박스,086980,"영화, 비디오물, 방송프로그램 제작 및 배급업",영화투자및배급,2006-07-07,12월,유정훈,http://www.showbox.co.kr,서울특별시
팬엔터테인먼트,068050,"영화, 비디오물, 방송프로그램 제작 및 배급업","방송영상물,음반",2006-07-07,12월,박영석,http://www.thepan.co.kr,서울특별시
루트로닉,085370,의료용 기기 제조업,의료용레이저기기,2006-07-04,12월,황해령,http://www.lutronic.com,경기도
인포뱅크,039290,기타 정보 서비스업,"모바일메시징서비스,휴대폰단말기용S/W개발용역",2006-07-04,12월,박태형,http://www.infobank.net,경기도
아이오케이,078860,소프트웨어 개발 및 공급업,LBS/Telematics솔루션및서비스,2006-06-27,12월,장철진,http://www.pointi.com,서울특별시
